Call  | Code | PC      | Cyc   | SP      | regA | regB | regC | regD | regE | regH | regL |flgZ|flgS|flgP|flgC|flgAC|
40058 | 0x01 | 0x0143d |     0 | 0x 23f2 | 0x3e | 0x03 | 0x00 | 0x1e | 0xd6 | 0x27 | 0xbc |  0 |  0 |  1 |  0 |   0 | 
40059 | 0x09 | 0x01440 |     0 | 0x 23f2 | 0x3e | 0x00 | 0x20 | 0x1e | 0xd6 | 0x27 | 0xbc |  0 |  0 |  1 |  0 |   0 | 
40060 | 0xc1 | 0x01441 |     0 | 0x 23f2 | 0x3e | 0x00 | 0x20 | 0x1e | 0xd6 | 0x27 | 0xdc |  0 |  0 |  1 |  0 |   0 | 
40061 | 0x05 | 0x01442 |     0 | 0x 23f4 | 0x3e | 0x03 | 0x00 | 0x1e | 0xd6 | 0x27 | 0xdc |  0 |  0 |  1 |  0 |   0 | 
40062 | 0xc2 | 0x01443 |     0 | 0x 23f4 | 0x3e | 0x02 | 0x00 | 0x1e | 0xd6 | 0x27 | 0xdc |  0 |  0 |  0 |  0 |   0 | 
40063 | 0xc5 | 0x01439 |     0 | 0x 23f4 | 0x3e | 0x02 | 0x00 | 0x1e | 0xd6 | 0x27 | 0xdc |  0 |  0 |  0 |  0 |   0 | 
40064 | 0x1a | 0x0143a |     0 | 0x 23f2 | 0x3e | 0x02 | 0x00 | 0x1e | 0xd6 | 0x27 | 0xdc |  0 |  0 |  0 |  0 |   0 | 
40065 | 0x77 | 0x0143b |     0 | 0x 23f2 | 0x00 | 0x02 | 0x00 | 0x1e | 0xd6 | 0x27 | 0xdc |  0 |  0 |  0 |  0 |   0 | 
40066 | 0x13 | 0x0143c |     0 | 0x 23f2 | 0x00 | 0x02 | 0x00 | 0x1e | 0xd6 | 0x27 | 0xdc |  0 |  0 |  0 |  0 |   0 | 
40067 | 0x01 | 0x0143d |     0 | 0x 23f2 | 0x00 | 0x02 | 0x00 | 0x1e | 0xd7 | 0x27 | 0xdc |  0 |  0 |  0 |  0 |   0 | 
40068 | 0x09 | 0x01440 |     0 | 0x 23f2 | 0x00 | 0x00 | 0x20 | 0x1e | 0xd7 | 0x27 | 0xdc |  0 |  0 |  0 |  0 |   0 | 
40069 | 0xc1 | 0x01441 |     0 | 0x 23f2 | 0x00 | 0x00 | 0x20 | 0x1e | 0xd7 | 0x27 | 0xfc |  0 |  0 |  0 |  0 |   0 | 
40070 | 0x05 | 0x01442 |     0 | 0x 23f4 | 0x00 | 0x02 | 0x00 | 0x1e | 0xd7 | 0x27 | 0xfc |  0 |  0 |  0 |  0 |   0 | 
